"1-0",11/16/2019
"Timezone",-5

"Serial No.","CA0000002E9C0521"
"Location:","4-10"
"High temperature limit (°C)",85
"Low temperature limit (°C)",-40
"Date - Time","Temperature (°C)"
"2019-08-09 18:01",16.0
"2019-08-09 20:01",16.0
"2019-08-09 22:01",16.0
"2019-08-10 00:01",16.0
"2019-08-10 02:01",16.0
"2019-08-10 04:01",16.0
"2019-08-10 06:01",16.0
"2019-08-10 08:01",16.0
"2019-08-10 10:01",16.0
"2019-08-10 12:01",16.0
"2019-08-10 14:01",15.5
"2019-08-10 16:01",15.5
"2019-08-10 18:01",15.5
"2019-08-10 20:01",15.5
"2019-08-10 22:01",15.5
"2019-08-11 00:01",15.5
"2019-08-11 02:01",15.5
"2019-08-11 04:01",15.5
"2019-08-11 06:01",15.5
"2019-08-11 08:01",15.5
"2019-08-11 10:01",15.5
"2019-08-11 12:01",15.5
"2019-08-11 14:01",15.5
"2019-08-11 16:01",15.5
"2019-08-11 18:01",15.0
"2019-08-11 20:01",15.0
"2019-08-11 22:01",15.0
"2019-08-12 00:01",15.0
"2019-08-12 02:01",15.5
"2019-08-12 04:01",15.5
"2019-08-12 06:01",15.0
"2019-08-12 08:01",15.0
"2019-08-12 10:01",15.0
"2019-08-12 12:01",15.0
"2019-08-12 14:01",15.0
"2019-08-12 16:01",15.0
"2019-08-12 18:01",15.0
"2019-08-12 20:01",15.0
"2019-08-12 22:01",15.0
"2019-08-13 00:01",15.0
"2019-08-13 02:01",15.0
"2019-08-13 04:01",15.0
"2019-08-13 06:01",15.5
"2019-08-13 08:01",15.5
"2019-08-13 10:01",15.5
"2019-08-13 12:01",15.5
"2019-08-13 14:01",15.5
"2019-08-13 16:01",15.5
"2019-08-13 18:01",15.5
"2019-08-13 20:01",15.5
"2019-08-13 22:01",15.5
"2019-08-14 00:01",15.5
"2019-08-14 02:01",15.5
"2019-08-14 04:01",15.5
"2019-08-14 06:01",15.5
"2019-08-14 08:01",15.5
"2019-08-14 10:01",15.5
"2019-08-14 12:01",15.5
"2019-08-14 14:01",16.0
"2019-08-14 16:01",16.0
"2019-08-14 18:01",16.0
"2019-08-14 20:01",16.0
"2019-08-14 22:01",16.0
"2019-08-15 00:01",16.0
"2019-08-15 02:01",16.0
"2019-08-15 04:01",16.0
"2019-08-15 06:01",16.0
"2019-08-15 08:01",16.0
"2019-08-15 10:01",16.0
"2019-08-15 12:01",16.0
"2019-08-15 14:01",16.0
"2019-08-15 16:01",16.0
"2019-08-15 18:01",16.0
"2019-08-15 20:01",16.0
"2019-08-15 22:01",16.0
"2019-08-16 00:01",16.0
"2019-08-16 02:01",16.0
"2019-08-16 04:01",16.0
"2019-08-16 06:01",16.0
"2019-08-16 08:01",16.0
"2019-08-16 10:01",16.0
"2019-08-16 12:01",16.0
"2019-08-16 14:01",16.0
"2019-08-16 16:01",16.0
"2019-08-16 18:01",16.0
"2019-08-16 20:01",16.0
"2019-08-16 22:01",16.0
"2019-08-17 00:01",16.0
"2019-08-17 02:01",16.0
"2019-08-17 04:01",16.0
"2019-08-17 06:01",16.0
"2019-08-17 08:01",16.0
"2019-08-17 10:01",16.0
"2019-08-17 12:01",16.0
"2019-08-17 14:01",16.0
"2019-08-17 16:01",16.0
"2019-08-17 18:01",16.0
"2019-08-17 20:01",16.0
"2019-08-17 22:01",16.0
"2019-08-18 00:01",16.0
"2019-08-18 02:01",16.0
"2019-08-18 04:01",16.0
"2019-08-18 06:01",16.0
"2019-08-18 08:01",16.0
"2019-08-18 10:01",16.0
"2019-08-18 12:01",16.0
"2019-08-18 14:01",16.0
"2019-08-18 16:01",16.0
"2019-08-18 18:01",16.0
"2019-08-18 20:01",16.0
"2019-08-18 22:01",16.0
"2019-08-19 00:01",16.0
"2019-08-19 02:01",16.0
"2019-08-19 04:01",16.5
"2019-08-19 06:01",16.5
"2019-08-19 08:01",16.5
"2019-08-19 10:01",16.5
"2019-08-19 12:01",16.0
"2019-08-19 14:01",16.0
"2019-08-19 16:01",16.0
"2019-08-19 18:01",16.0
"2019-08-19 20:01",16.5
"2019-08-19 22:01",16.5
"2019-08-20 00:01",16.5
"2019-08-20 02:01",16.5
"2019-08-20 04:01",16.5
"2019-08-20 06:01",16.5
"2019-08-20 08:01",16.5
"2019-08-20 10:01",16.5
"2019-08-20 12:01",16.5
"2019-08-20 14:01",16.5
"2019-08-20 16:01",16.5
"2019-08-20 18:01",16.5
"2019-08-20 20:01",16.5
"2019-08-20 22:01",16.5
"2019-08-21 00:01",16.5
"2019-08-21 02:01",16.5
"2019-08-21 04:01",16.5
"2019-08-21 06:01",16.5
"2019-08-21 08:01",16.5
"2019-08-21 10:01",16.5
"2019-08-21 12:01",16.5
"2019-08-21 14:01",16.5
"2019-08-21 16:01",16.5
"2019-08-21 18:01",16.5
"2019-08-21 20:01",16.5
"2019-08-21 22:01",16.5
"2019-08-22 00:01",16.5
"2019-08-22 02:01",16.5
"2019-08-22 04:01",16.5
"2019-08-22 06:01",16.5
"2019-08-22 08:01",16.5
"2019-08-22 10:01",16.5
"2019-08-22 12:01",16.5
"2019-08-22 14:01",16.5
"2019-08-22 16:01",16.5
"2019-08-22 18:01",16.5
"2019-08-22 20:01",16.5
"2019-08-22 22:01",16.5
"2019-08-23 00:01",17.0
"2019-08-23 02:01",17.0
"2019-08-23 04:01",17.0
"2019-08-23 06:01",17.0
"2019-08-23 08:01",17.0
"2019-08-23 10:01",17.0
"2019-08-23 12:01",17.0
"2019-08-23 14:01",16.5
"2019-08-23 16:01",16.5
"2019-08-23 18:01",16.5
"2019-08-23 20:01",16.5
"2019-08-23 22:01",16.5
"2019-08-24 00:01",16.5
"2019-08-24 02:01",16.5
"2019-08-24 04:01",16.5
"2019-08-24 06:01",16.0
"2019-08-24 08:01",16.0
"2019-08-24 10:01",16.0
"2019-08-24 12:01",16.0
"2019-08-24 14:01",16.0
"2019-08-24 16:01",16.0
"2019-08-24 18:01",15.5
"2019-08-24 20:01",15.5
"2019-08-24 22:01",15.5
"2019-08-25 00:01",15.5
"2019-08-25 02:01",15.5
"2019-08-25 04:01",15.5
"2019-08-25 06:01",15.5
"2019-08-25 08:01",15.5
"2019-08-25 10:01",15.5
"2019-08-25 12:01",15.5
"2019-08-25 14:01",15.5
"2019-08-25 16:01",15.0
"2019-08-25 18:01",15.0
"2019-08-25 20:01",15.0
"2019-08-25 22:01",15.0
"2019-08-26 00:01",15.0
"2019-08-26 02:01",15.0
"2019-08-26 04:01",15.0
"2019-08-26 06:01",15.0
"2019-08-26 08:01",15.0
"2019-08-26 10:01",15.0
"2019-08-26 12:01",15.0
"2019-08-26 14:01",15.0
"2019-08-26 16:01",15.0
"2019-08-26 18:01",15.0
"2019-08-26 20:01",15.0
"2019-08-26 22:01",15.0
"2019-08-27 00:01",15.0
"2019-08-27 02:01",15.0
"2019-08-27 04:01",15.0
"2019-08-27 06:01",15.0
"2019-08-27 08:01",15.0
"2019-08-27 10:01",15.0
"2019-08-27 12:01",15.0
"2019-08-27 14:01",15.0
"2019-08-27 16:01",15.0
"2019-08-27 18:01",15.0
"2019-08-27 20:01",15.0
"2019-08-27 22:01",15.0
"2019-08-28 00:01",15.0
"2019-08-28 02:01",15.0
"2019-08-28 04:01",15.0
"2019-08-28 06:01",15.0
"2019-08-28 08:01",15.0
"2019-08-28 10:01",15.0
"2019-08-28 12:01",15.0
"2019-08-28 14:01",15.0
"2019-08-28 16:01",15.0
