1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: EF0000002E694A21
Is Mission Active?  false
Mission Start:  Sat Dec 16 12:01:00 EST 2017
Sample Rate:  Every 120 minute(s)
Number of Mission Samples:  2006
Total Samples:  88102
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
1/25/18 6:01:00 AM,C,2
1/25/18 8:01:00 AM,C,2
1/25/18 10:01:00 AM,C,2
1/25/18 12:01:00 PM,C,2
1/25/18 2:01:00 PM,C,2
1/25/18 4:01:00 PM,C,2
1/25/18 6:01:00 PM,C,2
1/25/18 8:01:00 PM,C,1.5
1/25/18 10:01:00 PM,C,1.5
1/26/18 12:01:00 AM,C,1.5
1/26/18 2:01:00 AM,C,1.5
1/26/18 4:01:00 AM,C,1.5
1/26/18 6:01:00 AM,C,1.5
1/26/18 8:01:00 AM,C,1.5
1/26/18 10:01:00 AM,C,1.5
1/26/18 12:01:00 PM,C,1.5
1/26/18 2:01:00 PM,C,1.5
1/26/18 4:01:00 PM,C,1.5
1/26/18 6:01:00 PM,C,1.5
1/26/18 8:01:00 PM,C,1.5
1/26/18 10:01:00 PM,C,1.5
1/27/18 12:01:00 AM,C,1.5
1/27/18 2:01:00 AM,C,1.5
1/27/18 4:01:00 AM,C,1.5
1/27/18 6:01:00 AM,C,1.5
1/27/18 8:01:00 AM,C,1.5
1/27/18 10:01:00 AM,C,1.5
1/27/18 12:01:00 PM,C,1.5
1/27/18 2:01:00 PM,C,1.5
1/27/18 4:01:00 PM,C,1.5
1/27/18 6:01:00 PM,C,1.5
1/27/18 8:01:00 PM,C,1.5
1/27/18 10:01:00 PM,C,1.5
1/28/18 12:01:00 AM,C,1.5
1/28/18 2:01:00 AM,C,1.5
1/28/18 4:01:00 AM,C,1.5
1/28/18 6:01:00 AM,C,1.5
1/28/18 8:01:00 AM,C,2
1/28/18 10:01:00 AM,C,2
1/28/18 12:01:00 PM,C,2
1/28/18 2:01:00 PM,C,2.5
1/28/18 4:01:00 PM,C,2.5
1/28/18 6:01:00 PM,C,3
1/28/18 8:01:00 PM,C,3
1/28/18 10:01:00 PM,C,2.5
1/29/18 12:01:00 AM,C,2.5
1/29/18 2:01:00 AM,C,2.5
1/29/18 4:01:00 AM,C,2.5
1/29/18 6:01:00 AM,C,2.5
1/29/18 8:01:00 AM,C,2
1/29/18 10:01:00 AM,C,2
1/29/18 12:01:00 PM,C,2
1/29/18 2:01:00 PM,C,2
1/29/18 4:01:00 PM,C,2
1/29/18 6:01:00 PM,C,2
1/29/18 8:01:00 PM,C,2
1/29/18 10:01:00 PM,C,2
1/30/18 12:01:00 AM,C,2
1/30/18 2:01:00 AM,C,2
