"Plot Title: 5B"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 20153866, SEN S/N: 20153866, LBL: Temp)","Intensity, Lux (LGR S/N: 20153866, SEN S/N: 20153866, LBL: Light)","Host Connected (LGR S/N: 20153866)","Coupler Attached (LGR S/N: 20153866)","Coupler Detached (LGR S/N: 20153866)","Stopped (LGR S/N: 20153866)","End Of File (LGR S/N: 20153866)"
238,08/20/19 08:00:00 AM,16.713,107.6,,,,,
239,08/20/19 12:00:00 PM,23.869,473.6,,,,,
240,08/20/19 04:00:00 PM,23.196,269.1,,,,,
241,08/20/19 08:00:00 PM,19.948,0.0,,,,,
242,08/21/19 12:00:00 AM,18.045,0.0,,,,,
243,08/21/19 04:00:00 AM,18.331,0.0,,,,,
244,08/21/19 08:00:00 AM,18.711,32.3,,,,,
245,08/21/19 12:00:00 PM,21.473,656.6,,,,,
246,08/21/19 04:00:00 PM,22.429,1141.0,,,,,
247,08/21/19 08:00:00 PM,20.710,0.0,,,,,
248,08/22/19 12:00:00 AM,19.377,0.0,,,,,
249,08/22/19 04:00:00 AM,18.426,0.0,,,,,
250,08/22/19 08:00:00 AM,18.426,129.2,,,,,
251,08/22/19 12:00:00 PM,21.760,279.9,,,,,
252,08/22/19 04:00:00 PM,23.581,990.3,,,,,
253,08/22/19 08:00:00 PM,20.043,0.0,,,,,
254,08/23/19 12:00:00 AM,18.616,0.0,,,,,
255,08/23/19 04:00:00 AM,18.521,0.0,,,,,
256,08/23/19 08:00:00 AM,14.134,21.5,,,,,
257,08/23/19 12:00:00 PM,15.091,322.9,,,,,
258,08/23/19 04:00:00 PM,16.903,710.4,,,,,
259,08/23/19 08:00:00 PM,15.378,0.0,,,,,
260,08/24/19 12:00:00 AM,12.594,0.0,,,,,
261,08/24/19 04:00:00 AM,11.334,0.0,,,,,
262,08/24/19 08:00:00 AM,11.528,904.2,,,,,
263,08/24/19 12:00:00 PM,16.046,9300.1,,,,,
264,08/24/19 04:00:00 PM,17.284,4994.5,,,,,
265,08/24/19 08:00:00 PM,14.996,32.3,,,,,
266,08/25/19 12:00:00 AM,13.365,0.0,,,,,
267,08/25/19 04:00:00 AM,10.161,0.0,,,,,
268,08/25/19 08:00:00 AM,9.373,1722.2,,,,,
269,08/25/19 12:00:00 PM,16.046,6200.0,,,,,
270,08/25/19 04:00:00 PM,17.475,7233.4,,,,,
271,08/25/19 08:00:00 PM,14.900,10.8,,,,,
272,08/26/19 12:00:00 AM,12.594,0.0,,,,,
273,08/26/19 04:00:00 AM,13.558,0.0,,,,,
274,08/26/19 08:00:00 AM,13.942,882.6,,,,,
275,08/26/19 12:00:00 PM,16.618,12400.1,,,,,
276,08/26/19 04:00:00 PM,17.284,3961.1,,,,,
277,08/26/19 08:00:00 PM,16.141,10.8,,,,,
278,08/27/19 12:00:00 AM,15.760,0.0,,,,,
279,08/27/19 04:00:00 AM,15.282,0.0,,,,,
280,08/27/19 08:00:00 AM,15.378,258.3,,,,,
281,08/27/19 12:00:00 PM,16.903,1722.2,,,,,
282,08/27/19 04:00:00 PM,17.665,1130.2,,,,,
283,08/27/19 08:00:00 PM,17.950,10.8,,,,,
284,08/28/19 12:00:00 AM,17.570,0.0,,,,,
285,08/28/19 04:00:00 AM,17.379,0.0,,,,,
286,08/28/19 08:00:00 AM,17.570,247.6,,,,,
287,08/28/19 12:00:00 PM,18.806,2927.8,,,,,
288,08/28/19 04:00:00 PM,20.138,6200.0,,,,,
289,08/28/19 08:00:00 PM,16.903,10.8,,,,,
290,08/29/19 12:00:00 AM,15.091,0.0,,,,,
291,08/29/19 04:00:00 AM,13.558,0.0,,,,,
292,08/29/19 08:00:00 AM,12.013,1141.0,,,,,
293,08/29/19 12:00:00 PM,17.570,7577.8,,,,,
294,08/29/19 04:00:00 PM,19.377,5511.1,,,,,
295,08/29/19 08:00:00 PM,16.427,10.8,,,,,
296,08/30/19 12:00:00 AM,13.461,0.0,,,,,
297,08/30/19 04:00:00 AM,13.750,0.0,,,,,
298,08/30/19 08:00:00 AM,14.038,785.8,,,,,
299,08/30/19 12:00:00 PM,20.234,7577.8,,,,,
300,08/30/19 04:00:00 PM,21.855,6200.0,,,,,
301,08/30/19 08:00:00 PM,18.901,0.0,,,,,
302,08/31/19 12:00:00 AM,16.427,0.0,,,,,
303,08/31/19 04:00:00 AM,15.760,0.0,,,,,
304,08/31/19 08:00:00 AM,16.237,871.9,,,,,
305,08/31/19 12:00:00 PM,20.138,4133.4,,,,,
306,08/31/19 04:00:00 PM,21.855,5166.7,,,,,
307,08/31/19 08:00:00 PM,18.711,0.0,,,,,
308,09/01/19 12:00:00 AM,16.332,0.0,,,,,
309,09/01/19 04:00:00 AM,15.282,0.0,,,,,
310,09/01/19 08:00:00 AM,14.996,807.3,,,,,
311,09/01/19 12:00:00 PM,16.808,3272.2,,,,,
312,09/01/19 04:00:00 PM,18.711,2411.1,,,,,
313,09/01/19 08:00:00 PM,17.855,0.0,,,,,
314,09/02/19 12:00:00 AM,17.855,0.0,,,,,
315,09/02/19 04:00:00 AM,17.665,0.0,,,,,
316,09/02/19 08:00:00 AM,16.713,861.1,,,,,
317,09/02/19 12:00:00 PM,20.138,3616.7,,,,,
318,09/02/19 04:00:00 PM,20.710,5338.9,,,,,
319,09/02/19 08:00:00 PM,18.711,0.0,,,,,
320,09/03/19 12:00:00 AM,17.094,0.0,,,,,
321,09/03/19 04:00:00 AM,15.760,0.0,,,,,
322,09/03/19 08:00:00 AM,14.613,742.7,,,,,
323,09/03/19 12:00:00 PM,20.234,7233.4,,,,,
324,09/03/19 04:00:00 PM,21.760,6200.0,,,,,
325,09/03/19 08:00:00 PM,19.187,0.0,,,,,
326,09/04/19 12:00:00 AM,15.855,0.0,,,,,
327,09/04/19 04:00:00 AM,14.709,0.0,,,,,
328,09/04/19 08:00:00 AM,17.094,656.6,,,,,
329,09/04/19 12:00:00 PM,21.282,8266.7,,,,,
330,09/04/19 04:00:00 PM,22.812,11711.2,,,,,
331,09/04/19 08:00:00 PM,19.472,0.0,,,,,
332,09/05/19 12:00:00 AM,16.141,0.0,,,,,
333,09/05/19 04:00:00 AM,13.750,0.0,,,,,
334,09/05/19 08:00:00 AM,12.690,861.1,,,,,
335,09/05/19 12:00:00 PM,18.236,5166.7,,,,,
336,09/05/19 04:00:00 PM,19.282,3788.9,,,,,
337,09/05/19 08:00:00 PM,17.760,0.0,,,,,
338,09/06/19 12:00:00 AM,14.996,0.0,,,,,
339,09/06/19 04:00:00 AM,14.709,0.0,,,,,
340,09/06/19 08:00:00 AM,14.996,473.6,,,,,
341,09/06/19 12:00:00 PM,17.475,6200.0,,,,,
342,09/06/19 04:00:00 PM,20.329,1722.2,,,,,
343,09/06/19 08:00:00 PM,17.475,0.0,,,,,
344,09/07/19 12:00:00 AM,16.332,0.0,,,,,
345,09/07/19 04:00:00 AM,14.709,0.0,,,,,
346,09/07/19 08:00:00 AM,13.269,613.5,,,,,
347,09/07/19 12:00:00 PM,18.045,7577.8,,,,,
348,09/07/19 04:00:00 PM,19.567,18600.1,,,,,
349,09/07/19 08:00:00 PM,16.237,0.0,,,,,
350,09/08/19 12:00:00 AM,14.421,0.0,,,,,
351,09/08/19 04:00:00 AM,11.819,0.0,,,,,
352,09/08/19 08:00:00 AM,11.139,419.8,,,,,
353,09/08/19 12:00:00 PM,17.284,3444.5,,,,,
354,09/08/19 04:00:00 PM,20.234,2755.6,,,,,
355,09/08/19 08:00:00 PM,16.808,0.0,,,,,
356,09/09/19 12:00:00 AM,15.473,0.0,,,,,
357,09/09/19 04:00:00 AM,14.709,0.0,,,,,
358,09/09/19 08:00:00 AM,14.709,764.2,,,,,
359,09/09/19 12:00:00 PM,18.711,6200.0,,,,,
360,09/09/19 04:00:00 PM,19.758,2755.6,,,,,
361,09/09/19 08:00:00 PM,16.903,0.0,,,,,
362,09/10/19 12:00:00 AM,14.134,0.0,,,,,
363,09/10/19 04:00:00 AM,12.690,0.0,,,,,
364,09/10/19 08:00:00 AM,12.207,678.1,,,,,
365,09/10/19 12:00:00 PM,20.710,6544.5,,,,,
366,09/10/19 04:00:00 PM,23.292,5338.9,,,,,
367,09/10/19 08:00:00 PM,19.567,0.0,,,,,
368,09/11/19 12:00:00 AM,16.713,0.0,,,,,
369,09/11/19 04:00:00 AM,15.664,0.0,,,,,
370,09/11/19 08:00:00 AM,16.237,592.0,,,,,
371,09/11/19 12:00:00 PM,23.581,6200.0,,,,,
372,09/11/19 04:00:00 PM,23.773,1119.5,,,,,
373,09/11/19 08:00:00 PM,21.282,0.0,,,,,
374,09/12/19 12:00:00 AM,19.472,0.0,,,,,
375,09/12/19 04:00:00 AM,18.236,0.0,,,,,
376,09/12/19 08:00:00 AM,19.092,893.4,,,,,
377,09/12/19 12:00:00 PM,23.773,6544.5,,,,,
378,09/12/19 04:00:00 PM,24.641,7577.8,,,,,
379,09/12/19 08:00:00 PM,21.091,0.0,,,,,
380,09/13/19 12:00:00 AM,18.996,0.0,,,,,
381,09/13/19 04:00:00 AM,18.806,0.0,,,,,
382,09/13/19 08:00:00 AM,17.950,172.2,,,,,
383,09/13/19 12:00:00 PM,18.331,3272.2,,,,,
384,09/13/19 04:00:00 PM,16.618,904.2,,,,,
385,09/13/19 08:00:00 PM,15.664,0.0,,,,,
386,09/14/19 12:00:00 AM,15.760,0.0,,,,,
387,09/14/19 04:00:00 AM,16.046,0.0,,,,,
388,09/14/19 08:00:00 AM,16.332,21.5,,,,,
389,09/14/19 12:00:00 PM,19.092,4133.4,,,,,
