"Plot Title: 6B"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 20153867, SEN S/N: 20153867, LBL: Temp)","Intensity, Lux (LGR S/N: 20153867, SEN S/N: 20153867, LBL: Light)","Coupler Attached (LGR S/N: 20153867)","Host Connected (LGR S/N: 20153867)","Stopped (LGR S/N: 20153867)","End Of File (LGR S/N: 20153867)"
200,08/14/19 12:00:00 AM,20.138,0.0,,,,
201,08/14/19 04:00:00 AM,19.853,0.0,,,,
202,08/14/19 08:00:00 AM,19.092,226.0,,,,
203,08/14/19 12:00:00 PM,19.853,1894.5,,,,
204,08/14/19 04:00:00 PM,21.760,2927.8,,,,
205,08/14/19 08:00:00 PM,20.138,43.1,,,,
206,08/15/19 12:00:00 AM,17.284,0.0,,,,
207,08/15/19 04:00:00 AM,15.473,0.0,,,,
208,08/15/19 08:00:00 AM,14.709,419.8,,,,
209,08/15/19 12:00:00 PM,22.238,4994.5,,,,
210,08/15/19 04:00:00 PM,23.677,2669.5,,,,
211,08/15/19 08:00:00 PM,18.996,53.8,,,,
212,08/16/19 12:00:00 AM,17.760,0.0,,,,
213,08/16/19 04:00:00 AM,18.236,0.0,,,,
214,08/16/19 08:00:00 AM,16.903,387.5,,,,
215,08/16/19 12:00:00 PM,20.615,1463.9,,,,
216,08/16/19 04:00:00 PM,23.004,3961.1,,,,
217,08/16/19 08:00:00 PM,20.329,86.1,,,,
218,08/17/19 12:00:00 AM,16.427,0.0,,,,
219,08/17/19 04:00:00 AM,15.091,0.0,,,,
220,08/17/19 08:00:00 AM,14.325,409.0,,,,
221,08/17/19 12:00:00 PM,22.621,4305.6,,,,
222,08/17/19 04:00:00 PM,25.028,3616.7,,,,
223,08/17/19 08:00:00 PM,21.282,21.5,,,,
224,08/18/19 12:00:00 AM,18.616,0.0,,,,
225,08/18/19 04:00:00 AM,16.999,0.0,,,,
226,08/18/19 08:00:00 AM,16.618,409.0,,,,
227,08/18/19 12:00:00 PM,23.966,2927.8,,,,
228,08/18/19 04:00:00 PM,25.319,1087.2,,,,
229,08/18/19 08:00:00 PM,22.238,107.6,,,,
230,08/19/19 12:00:00 AM,18.331,0.0,,,,
231,08/19/19 04:00:00 AM,17.094,0.0,,,,
232,08/19/19 08:00:00 AM,18.236,183.0,,,,
233,08/19/19 12:00:00 PM,23.581,4477.8,,,,
234,08/19/19 04:00:00 PM,25.902,3444.5,,,,
235,08/19/19 08:00:00 PM,22.333,53.8,,,,
236,08/20/19 12:00:00 AM,18.806,0.0,,,,
237,08/20/19 04:00:00 AM,16.999,0.0,,,,
238,08/20/19 08:00:00 AM,16.618,366.0,,,,
239,08/20/19 12:00:00 PM,23.581,1463.9,,,,
240,08/20/19 04:00:00 PM,22.812,731.9,,,,
241,08/20/19 08:00:00 PM,20.138,10.8,,,,
242,08/21/19 12:00:00 AM,18.140,0.0,,,,
243,08/21/19 04:00:00 AM,18.236,0.0,,,,
244,08/21/19 08:00:00 AM,18.711,107.6,,,,
245,08/21/19 12:00:00 PM,20.615,1377.8,,,,
246,08/21/19 04:00:00 PM,22.525,3961.1,,,,
247,08/21/19 08:00:00 PM,20.901,21.5,,,,
